user_id,event_sequence,country,device_type,membership,rage_clicks_5m,policy_views_5m,cart_additions_5m,active_session_duration,total_events,churned
user_0,"[""remove_from_cart"", ""search"", ""view_returns"", ""begin_checkout"", ""check_policy"", ""contact_support"", ""add_to_cart"", ""check_policy"", ""search"", ""search"", ""view_returns""]",FR,desktop,premium,0,0,1,164.73685963427315,34,0
user_1,"[""remove_from_cart"", ""view_returns"", ""view_returns"", ""add_to_cart"", ""purchase"", ""begin_checkout"", ""view_item"", ""view_returns"", ""wishlist_add""]",IN,desktop,free,0,0,2,21.32640768286608,18,0
user_2,"[""purchase"", ""view_item"", ""wishlist_add"", ""begin_checkout"", ""page_view"", ""wishlist_add"", ""contact_support"", ""purchase"", ""wishlist_add"", ""rage_click"", ""page_view"", ""search"", ""search"", ""contact_support"", ""wishlist_add"", ""wishlist_add"", ""add_to_cart"", ""wishlist_add""]",DE,tablet,premium,1,0,0,628.6827595972911,96,1
user_3,"[""remove_from_cart"", ""rage_click"", ""add_to_cart"", ""begin_checkout"", ""add_to_cart"", ""check_policy"", ""begin_checkout"", ""rage_click"", ""check_policy"", ""view_item"", ""remove_from_cart""]",JP,desktop,free,1,0,2,257.03957721394266,96,0
user_4,"[""wishlist_add"", ""view_item"", ""contact_support"", ""rage_click"", ""contact_support"", ""begin_checkout"", ""view_item"", ""remove_from_cart"", ""wishlist_add"", ""wishlist_add"", ""check_policy"", ""wishlist_add"", ""view_returns""]",US,tablet,premium,0,0,1,311.57392122701015,35,0
user_5,"[""add_to_cart"", ""page_view"", ""remove_from_cart"", ""view_item"", ""view_returns"", ""remove_from_cart"", ""view_item"", ""purchase"", ""purchase"", ""contact_support"", ""remove_from_cart"", ""purchase"", ""view_item"", ""contact_support"", ""wishlist_add"", ""view_item"", ""contact_support"", ""remove_from_cart"", ""view_returns""]",US,desktop,free,0,0,2,102.2674722434629,73,1
user_6,"[""check_policy"", ""wishlist_add"", ""rage_click"", ""view_returns"", ""begin_checkout"", ""view_item"", ""begin_checkout"", ""view_returns"", ""contact_support"", ""rage_click"", ""wishlist_add"", ""wishlist_add"", ""wishlist_add"", ""rage_click"", ""page_view"", ""rage_click"", ""check_policy"", ""rage_click""]",CN,tablet,enterprise,0,0,0,76.78567943826232,27,0
user_7,"[""page_view"", ""wishlist_add"", ""view_returns"", ""view_returns"", ""search"", ""add_to_cart"", ""page_view"", ""view_returns"", ""add_to_cart"", ""add_to_cart"", ""page_view"", ""search""]",CN,mobile,enterprise,0,0,1,369.20311206506955,97,0
user_8,"[""contact_support"", ""check_policy"", ""contact_support"", ""rage_click"", ""wishlist_add"", ""check_policy"", ""rage_click"", ""view_returns"", ""wishlist_add""]",US,mobile,free,1,1,0,334.0253401248833,11,0
user_9,"[""page_view"", ""check_policy"", ""check_policy"", ""view_returns"", ""begin_checkout"", ""add_to_cart""]",IN,desktop,free,1,1,2,39.26451401662682,10,0
