user_id,user_risk_score,user_region,strategy_id,outcome
U03060,0.56,north,S0045,1
U04820,0.58,north,S0044,1
U00258,0.72,south,S0029,1
U01084,0.96,central,S0029,0
U01560,0.26,east,S0110,0
U00444,1.0,north,S0040,1
U00896,0.08,west,S0092,1
U02047,0.72,central,S0037,0
U00121,0.98,south,S0029,1
U03286,0.75,north,S0097,0
U03728,0.28,overseas,S0036,0
U03987,0.12,north,S0115,1
U02570,0.23,central,S0034,1
U04161,0.07,central,S0096,1
U04667,0.24,central,S0118,1
U02592,0.76,overseas,S0023,1
U02458,0.68,north,S0080,0
U00820,0.09,east,S0103,0
U02002,0.45,central,S0040,0
U04334,0.33,east,S0007,0
U01101,0.36,overseas,S0098,1
U01726,0.76,overseas,S0073,0
U00417,0.17,east,S0102,0
U02146,0.18,overseas,S0081,1
U01222,0.65,central,S0028,1
U02526,0.68,north,S0094,0
U00843,0.57,west,S0090,0
U01940,0.99,south,S0042,1
U02722,0.82,overseas,S0056,0
U00886,0.41,west,S0070,1
U01865,0.26,west,S0085,0
U02287,0.55,overseas,S0115,1
U00227,0.39,south,S0097,1
U04888,0.62,east,S0033,1
U04724,0.02,west,S0115,1
U01615,0.42,overseas,S0120,1
U01021,0.79,east,S0025,1
U02423,0.46,overseas,S0092,0
U02466,0.65,east,S0068,0
U04970,0.84,west,S0030,1
U01391,0.79,overseas,S0025,1
U01925,0.77,south,S0016,1
U03893,0.93,west,S0037,0
U03146,0.47,overseas,S0007,0
U01793,0.38,central,S0116,1
U00995,0.64,overseas,S0036,0
U03626,0.92,central,S0030,1
U01304,0.84,east,S0037,1
U04271,0.47,west,S0059,1
U02752,0.56,south,S0065,0
U01753,0.16,central,S0084,1
U03442,0.63,overseas,S0077,1
U00049,0.79,west,S0067,0
U04474,0.97,west,S0026,1
U03186,0.6,west,S0030,0
U04376,0.16,central,S0046,1
U01112,0.75,east,S0022,1
U02765,0.81,west,S0019,1
U04419,0.38,south,S0043,0
U02026,0.01,south,S0111,1
U04621,0.84,east,S0021,0
U00939,0.75,east,S0016,0
U04717,0.99,west,S0053,1
U01990,0.31,overseas,S0048,0
U04637,0.8,west,S0019,1
U02796,0.17,west,S0104,1
U03767,0.83,overseas,S0037,1
U04409,0.84,overseas,S0025,0
U00710,0.18,west,S0105,1
U04050,0.75,south,S0023,1
U04884,0.78,north,S0022,1
U03330,0.63,overseas,S0032,0
U00142,0.09,overseas,S0118,1
U04535,0.53,overseas,S0023,0
U02220,0.47,overseas,S0048,0
U01517,0.3,east,S0074,1
U00824,0.79,east,S0016,0
U01037,0.39,central,S0089,1
U04022,0.0,east,S0109,1
U00421,0.34,north,S0066,1
U04727,0.72,south,S0060,1
U02034,0.31,central,S0120,1
U04281,0.67,east,S0108,1
U00494,0.92,south,S0023,0
U01287,0.22,south,S0109,1
U03850,0.09,overseas,S0110,1
U01913,0.94,overseas,S0022,1
U04462,0.06,east,S0045,1
U02520,0.65,east,S0030,0
U03298,0.85,west,S0031,1
U03540,0.88,north,S0037,0
U04713,0.41,overseas,S0117,1
U01436,0.6,east,S0078,1
U04029,0.84,west,S0037,1
U01318,0.61,east,S0026,0
U04507,0.04,east,S0106,0
U00010,0.86,west,S0030,1
U04084,0.93,south,S0021,0
U03590,0.85,north,S0119,0
U01298,0.4,west,S0088,1
U00963,0.75,overseas,S0040,1
U03953,0.77,central,S0022,0
U04164,0.74,north,S0026,1
U04160,0.0,overseas,S0118,1
U04012,0.83,west,S0030,0
U03091,0.5,south,S0096,0
U01914,0.82,east,S0040,0
U03124,0.6,overseas,S0112,0
U01035,0.58,north,S0109,1
U03744,0.06,overseas,S0005,1
U02172,0.61,overseas,S0062,0
U04372,0.49,overseas,S0112,0
U00295,0.77,overseas,S0055,0
U03556,0.93,overseas,S0069,1
U02454,0.71,north,S0025,1
U02001,0.57,south,S0046,0
U03134,0.77,central,S0029,0
U03765,0.0,west,S0035,1
U03619,1.0,east,S0026,0
U03743,0.76,west,S0047,1
U04686,0.49,overseas,S0066,1
U04637,0.93,north,S0072,0
U02345,0.77,east,S0022,0
U01121,0.97,overseas,S0029,1
U02989,0.73,east,S0026,1
U01083,0.96,east,S0023,0
U02106,0.98,east,S0025,0
U03837,0.74,south,S0066,0
U04566,0.64,north,S0048,1
U02148,0.65,east,S0055,1
U04600,0.58,overseas,S0070,0
U02476,0.74,north,S0060,0
U00952,0.35,south,S0104,1
U04426,0.62,south,S0087,0
U03344,0.78,overseas,S0029,1
U01935,0.73,overseas,S0037,1
U03262,0.39,west,S0094,1
U04892,0.72,east,S0021,0
U01682,0.31,south,S0095,1
U01209,0.88,east,S0050,0
U04426,0.07,overseas,S0009,1
U01950,0.4,east,S0107,1
U00521,0.63,central,S0029,0
U00356,0.97,overseas,S0029,0
U00256,0.19,west,S0087,1
U03634,0.03,central,S0089,1
U04796,0.5,central,S0030,0
U03525,0.28,overseas,S0076,0
U01762,0.67,west,S0070,1
U00779,0.49,east,S0050,0
U03886,0.33,north,S0104,0
U04558,0.38,central,S0088,1
U03465,0.92,east,S0025,1
U04157,0.26,south,S0063,0
U03012,0.11,south,S0076,0
U04561,0.37,overseas,S0092,1
U02532,0.81,south,S0077,0
U00571,0.25,north,S0114,1
U03440,0.45,east,S0037,0
U00431,0.3,north,S0058,1
U03474,0.53,east,S0073,1
U03522,0.27,central,S0100,1
U03238,0.72,south,S0022,0
U02094,0.05,west,S0052,1
U04363,0.85,overseas,S0045,0
U00347,0.54,north,S0117,0
U03314,0.83,north,S0025,1
U03770,0.98,north,S0019,1
U04825,0.42,east,S0015,1
U01378,0.25,central,S0103,1
U01210,0.06,south,S0090,0
U00618,0.31,west,S0117,0
U03678,0.96,overseas,S0031,1
U02590,0.03,west,S0058,1
U02884,0.49,west,S0064,0
U00629,0.99,north,S0030,1
U04755,0.64,north,S0037,0
U02634,0.85,north,S0025,0
U00691,0.45,south,S0029,0
U04996,0.15,east,S0102,1
U00429,0.89,north,S0030,0
U02328,0.34,central,S0022,1
U01159,0.79,overseas,S0026,1
U00695,0.51,east,S0114,1
U03469,0.41,east,S0054,1
U03984,0.4,south,S0087,1
U04422,0.97,north,S0031,1
U03087,0.07,overseas,S0051,0
U00358,0.6,south,S0120,1
U03678,0.1,west,S0013,1
U04673,0.84,east,S0030,0
U01328,0.94,south,S0044,0
U03041,0.43,central,S0099,1
U01314,0.36,south,S0046,0
U01819,0.97,north,S0026,1
