user_id,event_sequence,label
0,"[5, 5, 11, 14, 2, 2, 3, 14, 11, 3, 11, 18, 2, 12, 3, 3, 14, 14, 13, 2]",1
1,"[4, 2, 24, 6, 2, 2, 6, 2, 8, 6, 2, 2, 24, 6, 3, 3, 8, 2, 2, 3]",0
2,"[24, 2, 23, 8, 4, 3, 24, 8, 8, 23, 4, 4, 6, 2, 23, 24, 24, 4, 3, 23]",0
3,"[23, 8, 6, 2, 8, 4, 23, 4, 24, 3, 23, 3, 2, 4, 2, 8, 4, 23, 6, 8]",0
4,"[6, 8, 24, 23, 3, 8, 23, 4, 8, 3, 24, 3, 6, 8, 2, 24, 24, 6, 2, 2]",0
5,"[24, 24, 23, 3, 4, 3, 23, 2, 23, 6, 3, 24, 2, 24, 4, 4, 8, 2, 24, 2]",0
6,"[14, 11, 5, 2, 5, 18, 5, 11, 2, 2, 5, 12, 14, 5, 13, 2, 3, 12, 3, 5]",1
7,"[24, 23, 4, 4, 3, 24, 23, 6, 3, 6, 24, 4, 24, 3, 3, 23, 23, 23, 23, 23]",0
8,"[5, 3, 2, 11, 3, 14, 12, 14, 14, 3, 18, 18, 11, 2, 14, 18, 2, 5, 3, 3]",1
9,"[23, 8, 23, 6, 6, 8, 23, 2, 6, 23, 6, 3, 2, 24, 3, 24, 2, 24, 4, 6]",0
10,"[6, 3, 4, 6, 2, 24, 3, 23, 8, 3, 3, 2, 2, 23, 3, 6, 24, 2, 8, 24]",0
11,"[3, 12, 5, 2, 18, 3, 5, 12, 14, 18, 13, 3, 13, 13, 3, 14, 14, 12, 14, 14]",1
12,"[2, 3, 6, 8, 4, 6, 6, 24, 2, 4, 23, 24, 4, 2, 4, 6, 4, 24, 2, 8]",0
13,"[18, 14, 2, 11, 5, 2, 3, 12, 5, 11, 12, 3, 11, 12, 11, 3, 11, 11, 2, 11]",1
14,"[24, 6, 3, 6, 3, 23, 6, 8, 2, 6, 24, 2, 8, 4, 6, 2, 6, 4, 3, 23]",0
15,"[3, 3, 4, 4, 23, 8, 2, 2, 8, 8, 8, 6, 6, 23, 8, 6, 4, 4, 2, 23]",0
16,"[3, 23, 8, 8, 23, 4, 6, 24, 24, 4, 8, 4, 23, 3, 4, 4, 6, 6, 8, 2]",0
17,"[2, 24, 24, 8, 4, 3, 24, 2, 24, 23, 2, 3, 2, 23, 23, 2, 24, 2, 24, 8]",0
18,"[3, 2, 14, 5, 5, 11, 2, 12, 18, 3, 11, 13, 13, 2, 2, 2, 3, 3, 3, 5]",1
19,"[18, 12, 13, 12, 12, 2, 3, 11, 2, 11, 11, 14, 3, 2, 2, 18, 14, 14, 18, 2]",1
20,"[6, 3, 3, 23, 24, 3, 3, 3, 4, 4, 6, 23, 24, 23, 4, 3, 6, 2, 2, 4]",0
21,"[6, 23, 8, 8, 2, 23, 3, 24, 6, 3, 8, 3, 6, 23, 4, 3, 23, 8, 23, 4]",0
22,"[2, 6, 24, 4, 6, 3, 23, 4, 4, 2, 3, 8, 3, 2, 2, 8, 4, 8, 4, 4]",0
23,"[14, 5, 3, 2, 18, 14, 11, 3, 18, 5, 12, 5, 14, 12, 18, 2, 12, 13, 11, 3]",1
24,"[11, 5, 14, 18, 2, 2, 2, 12, 2, 2, 18, 13, 12, 18, 14, 18, 12, 18, 5, 14]",1
25,"[2, 6, 6, 4, 4, 6, 23, 6, 23, 6, 23, 6, 6, 24, 4, 8, 3, 4, 8, 4]",0
26,"[3, 6, 8, 3, 23, 4, 8, 6, 23, 2, 3, 8, 6, 23, 6, 8, 3, 2, 3, 6]",0
27,"[13, 11, 5, 18, 11, 2, 13, 13, 12, 11, 18, 5, 12, 11, 14, 11, 11, 2, 11, 12]",1
28,"[24, 23, 23, 24, 23, 6, 2, 24, 2, 6, 3, 23, 6, 2, 24, 23, 3, 3, 24, 3]",0
29,"[18, 2, 5, 11, 13, 13, 3, 14, 2, 11, 11, 3, 11, 2, 12, 5, 18, 5, 18, 18]",1
30,"[2, 11, 5, 2, 2, 13, 11, 3, 5, 3, 2, 13, 18, 11, 13, 5, 5, 14, 14, 2]",1
31,"[18, 13, 5, 14, 12, 3, 11, 2, 12, 18, 5, 5, 14, 13, 14, 5, 14, 2, 13, 2]",1
32,"[6, 23, 3, 4, 6, 24, 23, 6, 23, 3, 24, 3, 6, 24, 24, 23, 23, 24, 4, 4]",0
33,"[13, 14, 3, 5, 12, 13, 2, 18, 14, 2, 2, 14, 14, 14, 5, 2, 18, 18, 14, 13]",1
34,"[13, 14, 13, 2, 5, 3, 11, 12, 11, 2, 18, 18, 5, 13, 11, 13, 3, 2, 3, 2]",1
35,"[12, 2, 13, 12, 12, 13, 18, 2, 2, 12, 3, 11, 3, 12, 3, 13, 12, 3, 2, 5]",1
36,"[5, 3, 5, 18, 3, 3, 3, 3, 18, 5, 13, 13, 12, 2, 18, 11, 2, 18, 14, 12]",1
37,"[24, 8, 8, 2, 3, 23, 3, 24, 3, 23, 8, 3, 3, 3, 2, 2, 24, 6, 3, 6]",0
38,"[11, 12, 18, 5, 13, 3, 3, 18, 3, 2, 2, 5, 14, 2, 13, 14, 3, 12, 12, 2]",1
39,"[3, 6, 6, 24, 4, 6, 2, 6, 4, 8, 4, 4, 24, 6, 8, 23, 23, 6, 4, 3]",0
40,"[3, 8, 8, 3, 3, 3, 3, 6, 24, 6, 4, 8, 3, 3, 6, 8, 4, 23, 24, 4]",0
41,"[2, 5, 12, 11, 3, 12, 12, 2, 2, 11, 2, 13, 2, 5, 14, 11, 13, 18, 13, 12]",1
42,"[24, 6, 4, 2, 4, 23, 8, 4, 6, 24, 24, 3, 4, 23, 2, 24, 6, 23, 3, 23]",0
43,"[2, 6, 2, 23, 2, 8, 24, 4, 23, 4, 24, 24, 4, 8, 3, 8, 4, 4, 3, 6]",0
44,"[2, 6, 4, 6, 2, 8, 3, 4, 8, 2, 3, 4, 23, 6, 23, 3, 3, 4, 6, 4]",0
45,"[5, 18, 18, 18, 5, 5, 18, 2, 12, 13, 3, 11, 12, 11, 5, 2, 3, 12, 2, 13]",1
46,"[8, 24, 8, 24, 3, 8, 6, 6, 24, 3, 3, 24, 24, 6, 2, 2, 24, 8, 8, 8]",0
47,"[8, 4, 6, 6, 4, 23, 3, 23, 8, 24, 23, 8, 4, 2, 2, 24, 6, 24, 8, 4]",0
48,"[5, 5, 11, 5, 2, 12, 14, 5, 14, 3, 11, 3, 13, 14, 14, 2, 2, 14, 3, 2]",1
49,"[6, 2, 4, 2, 24, 6, 4, 23, 6, 4, 23, 6, 4, 23, 23, 24, 6, 2, 2, 4]",0
50,"[4, 2, 2, 8, 6, 23, 8, 4, 8, 6, 2, 3, 23, 2, 2, 3, 4, 2, 2, 6]",0
51,"[3, 6, 4, 3, 3, 2, 24, 24, 23, 24, 8, 4, 24, 23, 24, 8, 23, 8, 23, 6]",0
52,"[24, 6, 6, 2, 6, 24, 8, 3, 23, 4, 24, 2, 24, 23, 2, 8, 6, 2, 6, 4]",0
53,"[6, 8, 2, 2, 3, 8, 8, 8, 4, 23, 24, 4, 4, 24, 4, 3, 2, 2, 24, 3]",0
54,"[23, 24, 3, 8, 23, 24, 4, 6, 23, 4, 24, 23, 2, 4, 3, 3, 2, 4, 6, 2]",0
55,"[14, 14, 13, 14, 13, 11, 13, 3, 12, 13, 13, 2, 5, 5, 13, 11, 18, 5, 11, 13]",1
56,"[2, 11, 3, 11, 5, 14, 12, 14, 12, 5, 5, 18, 13, 18, 12, 12, 12, 14, 12, 12]",1
57,"[4, 3, 3, 24, 8, 24, 4, 6, 3, 3, 8, 2, 3, 8, 2, 3, 8, 2, 24, 4]",0
